test_id,adr,reason
tests/test_codex_queue.py::CodexQueueSenderTests::test_timeout_is_ambiguous_for_sender_and_transport,A09,legacy-queue-sender
tests/test_codex_queue.py::CodexQueueSenderTests::test_zero_exit_without_message_id_is_still_proven_acceptance,A09,legacy-queue-sender
tests/test_adapters_base.py::AdapterTests::test_launch_plan_payload_preserves_bytes_and_rejects_shape_coercion,A10,no-payload-pipe
tests/test_adapters_base.py::AdapterTests::test_launch_plan_resume_session_id_round_trips_and_defaults_absent_key,A10,no-payload-pipe
tests/test_adapters_base.py::AdapterTests::test_registry_preloads_enabled_adapter_modules_and_surfaces_errors,A10,closed-adapter-enum
tests/test_adapters_base.py::AdapterTests::test_materialize_requires_mcp_mapping_and_prepare_requires_role,A10,closed-adapter-enum
tests/test_supervisor.py::SupervisorTests::test_a_base_exception_after_launch_is_durable_and_re_raised,A20,base-exception-unwind
tests/test_supervisor.py::SupervisorTests::test_a_base_exception_during_launch_is_durable_and_re_raised,A20,base-exception-unwind
tests/test_supervisor.py::SupervisorTests::test_invalid_settings_are_refused_before_adapter_launch,A20,no-supervisor-settings
tests/test_supervisor.py::SupervisorTests::test_shared_service_row_keeps_the_supervisor_group,A20,always-owns-spawned-group
tests/test_supervisor.py::SupervisorTests::test_shared_service_session_is_never_signalled_or_reaped,A20,always-owns-spawned-group
tests/test_domain.py::DomainTests::test_python_version_gate_refuses_unsupported_version,A21,no-interpreter-to-gate
tests/test_doctor.py::KeychainFallbackAuthTests::test_an_absent_keychain_item_keeps_the_warning,A22,qwen-runtime-removed
tests/test_native_settings.py::NativeSettingsParsing::test_qwen_tools_sandbox_is_not_tunable,A22,qwen-runtime-removed
tests/test_native_settings.py::QwenNativeSettings::test_declared_settings_land_and_sandbox_stays_owned,A22,qwen-runtime-removed
tests/test_native_settings.py::QwenNativeSettings::test_security_and_capability_roots_rejected,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_a_failing_row_source_raises_a_safe_source_error,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_a_successfully_read_empty_pool_has_no_samples,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_child_path_matches_the_host_path,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_hooks_are_rendered_with_plugin_command_expansion,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_keychain_and_default_base_url_fill_missing_credentials,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_legacy_environment_only_retains_native_denials,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_legacy_required_command_does_not_probe_during_prepare,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_live_limits_capability_and_pool_samples_are_shared,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_missing_env_and_failed_keychain_raises,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_network_profile_is_refused,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_prepare_uses_native_provider_environment_without_auth_config,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_probe_observes_the_configured_binary_version,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_probe_reports_authenticated_via_keychain_fallback,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_process_env_credentials_win_over_keychain_and_default_base_url,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_provider_model_mcp_and_role_are_isolated,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_read_only_and_write_modes_are_explicit_and_sandboxed,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_resume_prepare_keeps_verified_runtime_home_read_only,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_settings_select_the_openai_auth_type,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_skills_are_materialized_and_context_notes_the_absolute_path,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_skills_capability_is_declared,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenAdapterTests::test_validate_accepts_native_or_selected_environment_auth,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenErrorOnlyResultTests::test_claude_session_semantics_are_unchanged,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenErrorOnlyResultTests::test_error_mention_inside_real_content_stays_succeeded,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenErrorOnlyResultTests::test_error_only_400_result_fails_with_provider_error,A22,qwen-runtime-removed
tests/test_qwen_adapter.py::QwenErrorOnlyResultTests::test_error_only_500_result_fails_with_provider_error,A22,qwen-runtime-removed
