id,title,lane,stage,target_crates_and_files,prerequisites,inventory_refs,plan_tests,acceptance,size,cutover_blocking,status,owner,commit
"M11","Define domain newtypes FSM errors and view DTOs","config/roles","P2","crates/agent-run-domain/src/types.rs;crates/agent-run-domain/src/fsm.rs;crates/agent-run-domain/src/error.rs;crates/agent-run-domain/src/views.rs","M05","","T02-T04","cargo test -p agent-run-domain --test contracts --locked","M","yes","implemented","","c7350a4f9585fc8d354a1380f1ec8d015bd928fa"
"M12","Create the single 11-tool registry and golden schemas","config/roles","P2","crates/agent-run-domain/src/tools.rs;assets/tools.json;crates/agent-run-domain/tests/tool_registry.rs","M03;M11","","T01","cargo test -p agent-run-domain --test tool_registry --locked","M","yes","implemented","","e50c325e4c31e41409361a76c107151e1c27abc2"
"M13a","Port strict TOML and built-in adapter aliases","config/roles","P2","crates/agent-run-config/src/lib.rs;crates/agent-run-config/src/runtime.rs;crates/agent-run-config/tests/config_compat.rs","M03;M11","CO-6","T05;T09;T10","cargo test -p agent-run-config --test config_compat --locked","L","yes","planned","",""
"M13b","Match native-settings validation and snapshot identity","config/roles","P2","crates/agent-run-config/src/native_settings.rs;crates/agent-run-config/tests/native_settings.rs","M08;M13a","CO-10","T09;T10;T46","cargo test -p agent-run-config --test native_settings --locked","M","no","planned","",""
"M14a","Port safe paths accounts auth sources and suffixed homes","config/roles","P2","crates/agent-run-config/src/accounts.rs;crates/agent-run-platform/src/paths.rs;crates/agent-run-config/tests/accounts.rs","M13a","CO-6","T11;T12","cargo test -p agent-run-config --test accounts --locked","M","yes","planned","",""
"M14b","Match host-environment deny-list inheritance","claude/glm/qwen adapters","P2","crates/agent-run-config/src/environment.rs;crates/agent-run-adapters/tests/environment.rs","M05","EN-3","T12;T55;T57","cargo test -p agent-run-adapters --test environment --locked","S","yes","implemented","","cb0bbebffcdf619f3982d538a0a575d15446d601"
"M14c","Add GLM and Qwen Keychain credential fallback","claude/glm/qwen adapters","P2","crates/agent-run-platform/src/keychain.rs;crates/agent-run-adapters/src/auth.rs;crates/agent-run-adapters/tests/keychain.rs","M05","EN-1","T12;T55-T57","cargo test -p agent-run-adapters --test keychain --locked; run ignored macOS Keychain smoke on a macOS runner","M","yes","implemented","","cb0bbebffcdf619f3982d538a0a575d15446d601"
"M15a","Resolve and freeze canonical role plans","config/roles","P2","crates/agent-run-config/src/role_plan.rs;crates/agent-run-config/tests/role_plan.rs","M04;M11;M13a","CO-1","T06-T08","cargo test -p agent-run-config --test role_plan --locked","L","yes","planned","",""
"M15b","Match profile path capability and constraint decisions","config/roles","P2","crates/agent-run-config/src/profiles.rs;crates/agent-run-domain/src/policy.rs;crates/agent-run-config/tests/profiles_policy.rs;migration/adr/A11-required-constraints.md","M11;M13a","CO-7;CO-8","T06-T08","cargo test -p agent-run-config --test profiles_policy --locked","M","yes","planned","",""
"M16","Serialize canonical role and config payloads with historical bytes","config/roles","P2","crates/agent-run-config/src/snapshot.rs;crates/agent-run-config/tests/snapshot_bytes.rs","M08;M15a","CO-1;CO-10","T08;T46","cargo test -p agent-run-config --test snapshot_bytes --locked","M","yes","planned","",""
"M17","Create schema v16 and thread-owned store connections","store","P3","crates/agent-run-store/src/lib.rs;sql/schema.sql;crates/agent-run-store/tests/schema.rs","M04;M11","ST-MIG","T13;T15","cargo test -p agent-run-store --test schema --locked","L","yes","planned","",""
"M18","Port migrations 002-016 backup locking and refusal","store","P3","crates/agent-run-store/src/migrations.rs;sql/migrations/002-016;crates/agent-run-store/tests/migrations.rs","M04;M17","ST-MIG","T14;T16;T17","cargo test -p agent-run-store --test migrations --locked","L","yes","in_progress","",""
"M19","Implement atomic admission replay and active limits","store","P3","crates/agent-run-store/src/admission.rs;crates/agent-run-core/src/service.rs;crates/agent-run-store/tests/admission.rs","M15a;M15b;M17","","T18-T20","cargo test -p agent-run-store --test admission --locked","L","yes","planned","",""
"M20a","Implement events messages commands attempts and oversized spool","store","P3","crates/agent-run-store/src/journal.rs;crates/agent-run-store/src/attempts.rs;crates/agent-run-store/tests/journal.rs","M17;M23a","ST-6","T23;T24;T40;T42","cargo test -p agent-run-store --test journal --locked","M","yes","planned","",""
"M20b","Match projections pagination cursors and nullable fields","store","P3","crates/agent-run-store/src/projections.rs;crates/agent-run-store/tests/projections.rs","M17","","T24","cargo test -p agent-run-store --test projections --locked","M","yes","planned","",""
"M20c","Expose diagnostic and active-context read snapshots","store","P3","crates/agent-run-store/src/diagnostics.rs;crates/agent-run-store/tests/diagnostics.rs","M17;M20b","ST-9","T24;T81","cargo test -p agent-run-store --test diagnostics --locked","S","yes","planned","",""
"M20d","Persist capacity samples snapshots and history through store APIs","store","P3","crates/agent-run-store/src/capacity.rs;crates/agent-run-store/tests/capacity.rs","M17;M18","CD-5","T73-T77","cargo test -p agent-run-store --test capacity --locked","M","yes","planned","",""
"M21","Commit terminal transition delivery row and evidence atomically","store","P3","crates/agent-run-store/src/terminal.rs;crates/agent-run-store/src/delivery.rs;crates/agent-run-store/tests/terminal_delivery.rs","M20a;M20b","CD-7","T21;T68;T69","cargo test -p agent-run-store --test terminal_delivery --locked","M","yes","planned","",""
"M22","Enforce resume lineage safety and latest-parent uniqueness","store","P3","crates/agent-run-store/src/lineage.rs;crates/agent-run-store/tests/lineage.rs","M07;M19;M20a","ST-5","T22;T58;T59","cargo test -p agent-run-store --test lineage --locked","M","yes","planned","",""
"M22b","Bind orchestrators and record deduplicated context receipts","store","P3","crates/agent-run-store/src/context.rs;crates/agent-run-store/tests/context.rs","M17;M21","ST-4","T19;T68;T72","cargo test -p agent-run-store --test context --locked","M","yes","planned","",""
"M23a","Provide anchored no-follow file and agent-path primitives","platform/artifacts","P4","crates/agent-run-platform/src/fs.rs;crates/agent-run-platform/src/paths.rs;crates/agent-run-platform/tests/safe_fs.rs","M05","CX-2;ST-10","T42;T43","cargo test -p agent-run-platform --test safe_fs --locked","M","yes","implemented","","c86468690e5870b657c5ac3c4c427f0174b906a5"
"M23b","Provide durable publication and fault-injection seams","platform/artifacts","P4","crates/agent-run-platform/src/publish.rs;crates/agent-run-platform/tests/publish.rs","M23a","CX-2","T43;T44","cargo test -p agent-run-platform --test publish --locked","M","yes","implemented","","c86468690e5870b657c5ac3c4c427f0174b906a5"
"M24","Read seal and verify answer proofs v1 and v2","platform/artifacts","P4","crates/agent-run-platform/src/answer.rs;crates/agent-run-platform/tests/answer_proof.rs","M04;M23b","CX-2","T37-T44","cargo test -p agent-run-platform --test answer_proof --locked","L","yes","planned","",""
"M25","Verify managed trees indexes and config snapshots","platform/artifacts","P4","crates/agent-run-platform/src/snapshot_tree.rs;crates/agent-run-config/src/snapshot.rs;crates/agent-run-adapters/tests/snapshots.rs","M04;M16;M23b","CX-1","T45-T48","cargo test -p agent-run-adapters --test snapshots --locked","L","yes","planned","",""
"M26","Observe process identity and verify group cleanup evidence","platform/artifacts","P4","crates/agent-run-platform/src/process.rs;crates/agent-run-core/src/lifecycle.rs;tests/acceptance/process_cleanup.rs","M06;M07","CO-4","T29-T34;T36","cargo test --test process_cleanup --locked","L","yes","planned","",""
"M27","Build a fault-controlled Rust fake engine","core lifecycle","P5","crates/agent-run/tests/fixtures/engine.rs;crates/agent-run/tests/fake_engine.rs","M05","","T28;T29;T34;T36","cargo test -p agent-run --test fake_engine --locked","M","yes","implemented","","2dac098b538c151075255362826f6560ef9903f1"
"M28a","Implement startup claim ownership handoff and transition API","store","P5","crates/agent-run-store/src/ownership.rs;crates/agent-run-store/tests/ownership.rs","M17;M19","ST-2","T18-T21;T25;T34","cargo test -p agent-run-store --test ownership --locked","M","yes","planned","",""
"M28b","Launch the detached supervisor with private bootstrap FDs and READY","core lifecycle","P5","crates/agent-run-core/src/launch.rs;crates/agent-run-core/src/supervisor.rs;crates/agent-run-platform/src/launch_evidence.rs;crates/agent-run/src/internal.rs","M06;M24;M26;M27;M28a","CO-3;ST-7","T25-T29;T36","cargo test -p agent-run-core --test detached_supervisor --locked","L","yes","planned","",""
"M28c","Make preparation cancellable and snapshot-bound","core lifecycle","P5","crates/agent-run-core/src/preparation.rs;crates/agent-run-core/tests/preparation.rs","M15a;M25;M28a","CO-5","T25;T34;T48","cargo test -p agent-run-core --test preparation --locked","M","yes","planned","",""
"M29","Process cancel and steer commands with owned cleanup","core lifecycle","P5","crates/agent-run-core/src/commands.rs;crates/agent-run-core/tests/commands.rs","M20a;M26;M28b","CO-4","T23;T32;T34","cargo test -p agent-run-core --test commands --locked","M","yes","planned","",""
"M30a","Reconcile dead reused and unowned processes fairly","store","P5","crates/agent-run-store/src/reconciliation.rs;crates/agent-run-store/tests/reconciliation.rs","M07;M22;M28a","ST-1","T30;T31;T35;T36","cargo test -p agent-run-store --test reconciliation --locked","M","yes","planned","",""
"M30b","Decide terminal outcomes from process and answer evidence","core lifecycle","P5","crates/agent-run-core/src/completion.rs;crates/agent-run-core/tests/completion.rs","M24;M26;M28a","ST-3","T29;T32-T35;T37-T44","cargo test -p agent-run-core --test completion --locked","M","yes","planned","",""
"M30c","Preserve wait watcher and unlimited-runtime semantics","core lifecycle","P5","crates/agent-run-core/src/wait.rs;crates/agent-run-core/tests/wait.rs","M20b;M30a;M30b","CO-9","T35;T64","cargo test -p agent-run-core --test wait --locked","S","yes","planned","",""
"M30d","Expose service projections and fairly drain commands","core lifecycle","P5","crates/agent-run-core/src/service.rs;crates/agent-run-core/tests/service.rs","M20b;M21;M29;M30c","CO-11","T21;T23;T24;T64","cargo test -p agent-run-core --test service --locked with fake delivery and capacity ports","M","yes","planned","",""
"M31a","Match Codex app-server session stream and transport fidelity","codex adapter","P6","crates/agent-run-adapters/src/codex/session.rs;crates/agent-run-adapters/src/codex/transport.rs;crates/agent-run-adapters/tests/codex_session.rs","M20a;M24;M28b;M29;M30b","CX-4","T49-T52","cargo test -p agent-run-adapters --test codex_session --locked","L","yes","planned","",""
"M31b","Tighten Codex error diagnostics and roster parsing","codex adapter","P6","crates/agent-run-adapters/src/codex/error.rs;crates/agent-run-adapters/src/codex/models.rs;crates/agent-run-adapters/tests/codex_errors.rs","M31a","CX-8","T52;T54","cargo test -p agent-run-adapters --test codex_errors --locked","M","no","planned","",""
"M32a","Match Codex generated-home materialization and defaults","codex adapter","P6","crates/agent-run-adapters/src/codex/materialize.rs;assets/codex/defaults.toml;crates/agent-run-adapters/tests/codex_materialize.rs","M13a;M23b;M25","CX-3","T46-T48;T53","cargo test -p agent-run-adapters --test codex_materialize --locked","L","yes","planned","",""
"M32b","Enforce Codex permissions trusted MCP and command policy","codex adapter","P6","crates/agent-run-adapters/src/codex/permissions.rs;crates/agent-run/src/internal.rs;crates/agent-run-adapters/tests/codex_permissions.rs","M12;M15b;M23b;M32a","CX-5","T07-T09;T47;T53","cargo test -p agent-run-adapters --test codex_permissions --locked","M","yes","planned","",""
"M32c","Match Codex plugin skill hook and trust digests","codex adapter","P6","crates/agent-run-adapters/src/codex/plugins.rs;crates/agent-run-adapters/tests/codex_plugins.rs","M23b;M25;M32a","CX-7","T47;T48;T53","cargo test -p agent-run-adapters --test codex_plugins --locked","M","yes","planned","",""
"M33","Finalize fresh-only Codex trust receipts before snapshot freeze","codex adapter","P6","crates/agent-run-adapters/src/codex/trust.rs;crates/agent-run-adapters/tests/codex_trust.rs","M25;M32b;M32c","CX-1;CX-3","T48","cargo test -p agent-run-adapters --test codex_trust --locked","M","yes","planned","",""
"M34a","Port Codex models health account homes limits and environment","codex adapter","P6","crates/agent-run-adapters/src/codex/models.rs;crates/agent-run-adapters/src/codex/environment.rs;crates/agent-run-adapters/tests/codex_runtime.rs","M14a;M14b;M31a;M32a","CX-6","T12;T54","cargo test -p agent-run-adapters --test codex_runtime --locked","L","yes","planned","",""
"M34b","Resume Codex with exact thread identity and immutable grant","codex adapter","P6","crates/agent-run-adapters/src/codex/resume.rs;crates/agent-run-adapters/tests/codex_resume.rs","M22;M31a;M33;M38","CO-2","T54;T58;T59","cargo test -p agent-run-adapters --test codex_resume --locked","M","yes","planned","",""
"M35a","Port Claude materialization auth parser and native history","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/claude;crates/agent-run-adapters/tests/claude.rs","M14a;M14b;M25;M28b","","T55;T58","cargo test -p agent-run-adapters --test claude --locked","L","yes","planned","",""
"M35b","Redact secrets before stream journaling","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/redact.rs;crates/agent-run-adapters/src/claude/stream.rs;crates/agent-run-adapters/tests/redaction.rs","M14b;M20a","EN-5","T55-T57","cargo test -p agent-run-adapters --test redaction --locked","S","yes","planned","",""
"M35c","Classify auth stderr malformed streams and EOF precisely","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/claude/stream.rs;crates/agent-run-adapters/src/io.rs;crates/agent-run-adapters/tests/stream_diagnostics.rs","M35a;M35b","EN-6;EN-8","T55;T56","cargo test -p agent-run-adapters --test stream_diagnostics --locked","M","no","planned","",""
"M35d","Reject unknown hook events and undeclared plugin skills","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/validation.rs;crates/agent-run-adapters/tests/runtime_validation.rs","M13a;M15a","EN-7","T05;T07;T55;T56","cargo test -p agent-run-adapters --test runtime_validation --locked","S","no","planned","",""
"M36","Specialize GLM endpoint auth model suffix and history","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/glm;crates/agent-run-adapters/tests/glm.rs","M14c;M25;M28b;M35a","EN-1;EN-4;EN-7","T56;T58","cargo test -p agent-run-adapters --test glm --locked","M","yes","planned","",""
"M37","Port Qwen parser sandbox macOS Git history and native denials","claude/glm/qwen adapters","P7","crates/agent-run-adapters/src/qwen;crates/agent-run-adapters/tests/qwen.rs","M14a;M14c;M25;M28b","EN-1;EN-9","T57;T58","cargo test -p agent-run-adapters --test qwen --locked; run ignored native smoke on macOS","L","yes","planned","",""
"M38","Gate shared continuation on proven lineage and inherited identity","core lifecycle","P7","crates/agent-run-core/src/resume.rs;crates/agent-run-core/tests/resume.rs","M16;M22;M28c;M31a;M34a;M35a;M36;M37","CO-2","T22;T58-T60","cargo test -p agent-run-core --test resume --locked","L","yes","planned","",""
"M39","Match socket framing locks discovery and error envelopes","transports/CLI","P8","crates/agent-run/src/transport/frame.rs;crates/agent-run/src/transport/socket.rs;crates/agent-run/tests/socket_protocol.rs","M12;M19;M30c","TR-2","T61;T62;T65","cargo test -p agent-run --test socket_protocol --locked","L","yes","planned","",""
"M40","Bound control and read lanes long polls and shutdown","transports/CLI","P8","crates/agent-run/src/transport/socket.rs;crates/agent-run/tests/socket_concurrency.rs","M39","TR-2","T63;T64;T66","cargo test -p agent-run --test socket_concurrency --locked","M","yes","planned","",""
"M41a","Restore full CLI commands JSON errors and exit codes","transports/CLI","P8","crates/agent-run/src/cli.rs;crates/agent-run/tests/cli_contract.rs","M03;M12;M30d;M39","CO-9;TR-1","T01-T04;T61-T66","cargo test -p agent-run --test cli_contract --locked","L","yes","planned","",""
"M41b","Decide and test Rust-only operator commands and aliases","transports/CLI","P8","crates/agent-run/src/cli.rs;crates/agent-run/tests/cli_extensions.rs;migration/adr/cli-extensions.md","M41a","TR-8","","cargo test -p agent-run --test cli_extensions --locked","S","no","planned","",""
"M42","Run MCP only as a bounded broker proxy","transports/CLI","P8","crates/agent-run/src/transport/mcp.rs;crates/agent-run/tests/mcp.rs","M10;M12;M39;M40","TR-3","T01;T67","cargo test -p agent-run --test mcp --locked","M","yes","planned","",""
"M43a","Map labelled Codexbar identities without leaking account data","capacity","P9","crates/agent-run-core/src/capacity/codexbar.rs;crates/agent-run-core/tests/capacity_codexbar.rs","M14a;M17","CD-3","T73;T74;T80","cargo test -p agent-run-core --test capacity_codexbar --locked","M","yes","planned","",""
"M43b","Read OmniRoute current-cache pool quotas","capacity","P9","crates/agent-run-core/src/capacity/omniroute.rs;crates/agent-run-core/tests/capacity_omniroute.rs","M17","CD-2;EN-2","T73;T74;T77;T80","cargo test -p agent-run-core --test capacity_omniroute --locked","M","yes","planned","",""
"M43c","Complete native and Claude stream fallback sources","capacity","P9","crates/agent-run-core/src/capacity/sources.rs;crates/agent-run-core/tests/capacity_sources.rs","M14b;M17;M35a","CD-4","T73;T74;T80","cargo test -p agent-run-core --test capacity_sources --locked","M","yes","planned","",""
"M43d","Collect source slices statuses freshness and topology atomically","capacity","P9","crates/agent-run-core/src/capacity/collect.rs;crates/agent-run-core/tests/capacity_collect.rs","M20d","CD-5","T73-T77;T80","cargo test -p agent-run-core --test capacity_collect --locked with fake source outcomes","L","yes","planned","",""
"M44","Match forecast advice topology and deterministic route order","capacity","P9","crates/agent-run-core/src/capacity/ranking.rs;crates/agent-run-core/src/capacity/advice.rs;crates/agent-run-core/tests/capacity_order.rs","M04;M43d","CD-1","T75;T76;T78-T80","cargo test -p agent-run-core --test capacity_order --locked","L","yes","planned","",""
"M45","Extract and backfill cumulative run statistics","store","P9","crates/agent-run-store/src/run_stats.rs;crates/agent-run-store/tests/run_stats.rs","M22;M31a;M35a;M36;M37","ST-8","T60","cargo test -p agent-run-store --test run_stats --locked","M","no","planned","",""
"M46","Dispatch owned delivery claims with retry ambiguity and expiry","delivery/hooks","P9","crates/agent-run-core/src/delivery/dispatch.rs;crates/agent-run-core/tests/delivery_dispatch.rs","M21","CD-7","T68;T69","cargo test -p agent-run-core --test delivery_dispatch --locked","L","yes","planned","",""
"M47","Freeze notice rendering and secret-safe evidence schema","delivery/hooks","P9","crates/agent-run-core/src/delivery/notice.rs;assets/completion_notice.json;crates/agent-run-core/tests/delivery_notice.rs","M04;M21","CD-6","T69;T70","cargo test -p agent-run-core --test delivery_notice --locked","M","yes","planned","",""
"M48","Harden Desktop relay and Claude UDS transports","delivery/hooks","P9","crates/agent-run-core/src/delivery/relay.rs;crates/agent-run-core/src/delivery/claude_uds.rs;crates/agent-run-core/tests/delivery_hosts.rs","M09;M23a;M46;M47","CD-8","T68-T71","cargo test -p agent-run-core --test delivery_hosts --locked; run ignored Desktop and Claude UDS smokes","L","yes","planned","",""
"M49","Bind hooks context receipts and late delivery activation","delivery/hooks","P9","crates/agent-run/src/hooks;crates/agent-run/tests/hooks.rs","M22b;M40;M41a;M42;M46","TR-4","T19;T68;T72","cargo test -p agent-run --test hooks --locked","L","yes","planned","",""
"M50a","Port operator diagnostics logging and activity snapshots","operations/release","P10","crates/agent-run/src/doctor.rs;crates/agent-run/src/logging.rs;crates/agent-run/tests/doctor.rs","M15b;M20c;M30a;M34a;M36;M37;M44;M48;M49","TR-5","T81","cargo test -p agent-run --test doctor --locked","L","yes","planned","",""
"M50b","Port init docs and cwd-independent embedded resources","operations/release","P10","crates/agent-run/src/init.rs;crates/agent-run/src/doc.rs;assets/operator_guide;crates/agent-run/tests/resources.rs","M15b;M34a;M36;M37;M41a;M44;M48;M49","TR-6","T81;T83","cargo test -p agent-run --test resources --locked from a directory outside the checkout","M","yes","planned","",""
"M51","Generate compatible API capacity and delivery launchd jobs","operations/release","P10","crates/agent-run/src/launchd.rs;crates/agent-run/tests/launchd.rs","M40;M50a;M50b","CD-9;TR-6","T82","cargo test -p agent-run --test launchd --locked","M","yes","planned","",""
"M52","Build sealed native releases with provenance","operations/release","P10","xtask/src/release.rs;.github/workflows/release.yml;tests/acceptance/release.rs","M05;M42;M50b","TR-7","T83","cargo test -p xtask --test release --locked and cargo xtask release rehearse","L","yes","planned","",""
"M53","Journal quiescent deploy backup restore and roll-forward","operations/release","P10","xtask/src/deploy.rs;migration/recovery.md;tests/acceptance/deploy_recovery.rs","M18;M51;M52","TR-7","T84","cargo test -p xtask --test deploy_recovery --locked","L","yes","planned","",""
"M54","Run the full Python-versus-Rust differential contract matrix","baseline/control","P11","xtask/src/differential.rs;migration/compatibility.csv;migration/evidence/differential-report.md","M04;M16;M20b;M34b;M38;M41a;M42;M43a;M43b;M43c;M44;M48;M49","CD-10","T01-T84","cargo xtask differential --baseline tests/fixtures/baseline --report migration/evidence/differential-report.md","L","yes","planned","",""
"M55","Qualify security faults load and supported platforms","operations/release","P11","tests/acceptance/qualification;migration/evidence/qualification.md;migration/adr/A15-platforms.md","M24;M30b;M38;M40;M44;M48;M53;M54","","T01-T84","cargo test --workspace --locked && cargo xtask qualify --release","L","yes","planned","",""
"M56","Assemble final source archive lock manifest and handoff","operations/release","P12","xtask/src/archive.rs;migration/status.md;migration/evidence/index.json","M55","","T83;T84","cargo xtask archive --verify && cargo xtask evidence verify && cargo test --workspace --locked","M","yes","planned","",""
